,0
storage_gb,0.5550966334199812
brand_clean_Apple,0.13254740365628825
brand_clean_Xiaomi,0.06284478139299812
model_cat_iPhone 17 Pro Max,0.04902152835159731
model_cat_Galaxy S26 Ultra,0.03063007081840123
brand_clean_Samsung,0.026082359992514764
model_cat_other,0.019782188818652256
model_cat_Redmi Note 15 5G,0.010444441247708387
model_cat_iPhone 17 Pro,0.010220416190506572
model_cat_Galaxy A17 5G,0.00991851491192336
model_cat_Galaxy S26 Plus,0.009757263428995222
model_cat_Galaxy A36 5G,0.008758350991806408
model_cat_Redmi Note 15 Pro,0.008176865732701129
model_cat_Galaxy Z Fold 6,0.008054750758690261
model_cat_+,0.007654887341815062
model_cat_Galaxy M36 5G,0.007423548791241933
ram_gb,0.007127210831982271
model_cat_Galaxy S25,0.007007123879254503
model_cat_Galaxy S24 Ultra,0.004923324548363763
model_cat_Xiaomi 15 Ultra,0.003880786637326148
model_cat_Galaxy Z Flip 7,0.0037107335230318196
model_cat_iPhone Air,0.0028964434638939916
model_cat_Galaxy A56 5G,0.002741101670594642
model_cat_Galaxy S25 Plus,0.0024464751831770127
model_cat_iPhone 17,0.002410959572879759
model_cat_Galaxy A07,0.002392143263928268
model_cat_8GB +,0.0015227186368153656
model_cat_Prebook Here,0.0010192786836598015
model_cat_Redmi 15C,0.0005692917061193951
model_cat_Redmi Note 15 Pro+ 5G,0.00039053476600044634
model_cat_Redmi A5,0.000247811363768763
model_cat_Redmi 15,0.0002056645967537989
model_cat_Redmi Note 15 4G,9.439182662871159e-05
